data,BRASIL,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Jan-04,12008852,840290,2015783,6977471,1810980,364327
Feb-04,12141417,810256,1942020,7084623,1931866,372652
Mar-04,12608413,880888,2082250,7087613,2149031,408631
Apr-04,12887291,861612,2056947,7384540,2164762,419430
May-04,12832712,901710,2100191,7258307,2164980,407524
Jun-04,13107636,906710,2105230,7501655,2143097,450944
Jul-04,13306807,936236,2157223,7580439,2169915,462993
Aug-04,13592341,979205,2205099,7710196,2223452,474389
Sep-04,13460815,916923,2185141,7747917,2150364,460470
Oct-04,13534733,947638,2227272,7762817,2130103,466902
Nov-04,13447777,934565,2196815,7869102,2027558,419738
Dec-04,13391884,952562,2234002,7777337,1995866,432117
Jan-05,12650753,923506,2163115,7298293,1866926,398913
Feb-05,12746540,899364,2012796,7377942,2049609,406829
Mar-05,13065261,928586,2157384,7406089,2142696,430507
Apr-05,13373989,894472,2133404,7745456,2137584,463072
May-05,13292320,940021,2227816,7505361,2171215,447906
Jun-05,13140406,920067,2151482,7506188,2132786,429883
Jul-05,13430446,934867,2237704,7608435,2147746,501694
Aug-05,13754713,941680,2266149,7923121,2149185,474578
Sep-05,13700583,926258,2242895,8006237,2062708,462484
Oct-05,13512368,980174,2220118,7770445,2092679,448952
Nov-05,13445264,962516,2204171,7721847,2114081,442648
Dec-05,13549854,969814,2291626,7747980,2104744,435691
Jan-06,12851401,959507,2209932,7352617,1915944,413400
Feb-06,13044331,898998,2065905,7567739,2084454,427236
Mar-06,13382327,986674,2273993,7503661,2165591,452409
Apr-06,13531808,962768,2218405,7745038,2162331,443266
May-06,13406754,989261,2209977,7592674,2181245,433597
Jun-06,13568688,969702,2222917,7722371,2208095,445603
Jul-06,13696551,998856,2281264,7736313,2211595,468524
Aug-06,14164040,1027668,2363385,8024273,2262835,485879
Sep-06,13825482,1005214,2309747,7876455,2185916,448150
Oct-06,13952616,1025941,2384511,7889940,2196101,456123
Nov-06,13989838,1003098,2302684,8027414,2196501,460141
Dec-06,13766563,1017455,2303705,7857892,2135110,452402
